file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\banking\MongoBankTest.java,com.iluwatar.hexagonal.banking.MongoBankTest,class,9,9,0,9,5,1,0,21,0,0.62857145,0.0,0.0,5,2,0,0,0,5,5,0,0,0,7,6,0,7,0,0,2,0,3,38,0,0,0,0,0,13,8,7,1,7,0,0,0,0,38,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\database\InMemoryTicketRepository.java,com.iluwatar.hexagonal.database.InMemoryTicketRepository,class,3,5,2,3,4,1,0,5,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,2,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,18,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\service\LotteryConsoleServiceImpl.java,com.iluwatar.hexagonal.service.LotteryConsoleServiceImpl,class,10,12,2,10,10,1,0,18,0,0.0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,1,0,0,1,0,0,1,0,8,67,1,0,0,2,0,21,1,18,0,19,2,0,0,2,66,1,18
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\AppTest.java,com.iluwatar.hexagonal.AppTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\domain\LotteryTest.java,com.iluwatar.hexagonal.domain.LotteryTest,class,12,12,0,12,5,1,0,20,1,0.5833333,0.0,0.0,3,0,0,0,0,3,3,0,0,0,4,0,0,4,0,0,1,0,7,42,0,1,0,0,0,13,19,9,0,12,2,0,0,0,35,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\domain\PlayerDetailsTest.java,com.iluwatar.hexagonal.domain.PlayerDetailsTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,3,0,3,0,0,0,0,13,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\domain\LotteryTicketTest.java,com.iluwatar.hexagonal.domain.LotteryTicketTest,class,5,5,0,5,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,9,12,9,0,9,0,0,0,0,22,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\test\LotteryTestUtils.java,com.iluwatar.hexagonal.test.LotteryTestUtils,class,5,8,3,5,2,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,10,2,0,0,0,0,3,4,2,0,2,0,0,0,0,17,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\banking\InMemoryBankTest.java,com.iluwatar.hexagonal.banking.InMemoryBankTest,class,3,3,0,3,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,13,0,0,0,0,0,9,8,1,0,1,0,0,0,0,14,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\domain\LotteryNumbersTest.java,com.iluwatar.hexagonal.domain.LotteryNumbersTest,class,2,2,0,2,4,1,0,12,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,11,25,0,0,0,0,0,0,26,6,0,6,0,0,0,1,21,0,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryConstants.java,com.iluwatar.hexagonal.domain.LotteryConstants,class,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,9,0,0,0,0,0,1,4,5,0,5,0,0,0,0,23,1,0
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\administration\ConsoleAdministrationSrvImpl.java,com.iluwatar.hexagonal.administration.ConsoleAdministrationSrvImpl,class,4,5,1,4,4,1,0,6,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,20,0,0,0,0,0,4,0,3,0,5,0,0,0,1,25,1,4
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\eventlog\MongoEventLogTest.java,com.iluwatar.hexagonal.eventlog.MongoEventLogTest,class,7,7,0,7,3,1,0,13,0,0.44444445,0.0,0.0,3,0,0,0,0,3,3,0,0,0,3,2,0,3,0,0,2,0,4,38,0,0,0,0,0,7,15,5,0,5,0,0,0,0,32,0,0
