file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\MongoEventLog.java,com.iluwatar.hexagonal.eventlog.MongoEventLog,"connect/2[java.lang.String,java.lang.String]",false,65,1,2,2,0,2,5,8,0,0,2,5,0,0,0,1,0,0,2,0,3,0,1,0,0,0,14,1,0,true
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryAdministration.java,com.iluwatar.hexagonal.domain.LotteryAdministration,getAllSubmittedTickets/0,false,55,3,4,3,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryAdministration.java,com.iluwatar.hexagonal.domain.LotteryAdministration,"LotteryAdministration/3[com.iluwatar.hexagonal.database.LotteryTicketRepository,com.iluwatar.hexagonal.eventlog.LotteryEventLog,com.iluwatar.hexagonal.banking.WireTransfers]",true,48,4,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,true
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryAdministration.java,com.iluwatar.hexagonal.domain.LotteryAdministration,performLottery/0,false,60,5,9,2,7,5,12,22,1,6,0,12,1,1,1,2,0,0,0,0,6,0,3,0,0,0,18,1,0,true
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryAdministration.java,com.iluwatar.hexagonal.domain.LotteryAdministration,resetLottery/0,false,82,1,3,2,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\domain\LotteryTicketCheckResult.java,com.iluwatar.hexagonal.domain.LotteryTicketCheckResult,LotteryTicketCheckResult/1[com.iluwatar.hexagonal.domain.LotteryTicketCheckResult.CheckResult],true,48,1,2,2,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,1,0,true
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\LotteryEventLog.java,com.iluwatar.hexagonal.eventlog.LotteryEventLog,ticketSubmitError/1[com.iluwatar.hexagonal.eventlog.PlayerDetails],false,35,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\LotteryEventLog.java,com.iluwatar.hexagonal.eventlog.LotteryEventLog,"ticketWon/2[com.iluwatar.hexagonal.eventlog.PlayerDetails,int]",false,41,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\LotteryEventLog.java,com.iluwatar.hexagonal.eventlog.LotteryEventLog,ticketSubmitted/1[com.iluwatar.hexagonal.eventlog.PlayerDetails],false,32,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,true
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\LotteryEventLog.java,com.iluwatar.hexagonal.eventlog.LotteryEventLog,"prizeError/2[com.iluwatar.hexagonal.eventlog.PlayerDetails,int]",false,44,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\LotteryEventLog.java,com.iluwatar.hexagonal.eventlog.LotteryEventLog,ticketDidNotWin/1[com.iluwatar.hexagonal.eventlog.PlayerDetails],false,38,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
